ID,Tweet Content
4616,"""LATEST : EXCLUSIVE #PATHAAN Special Promo of #FIFAWorldCup Finals 🔥 Watch King Khan live on 18th December as he promotes Pathaan with #FifaWorldCupQatar Finals #ShahRukhKhan #YRF50 #BesharamRang 
#DeepikaPadukone #FIFA2022 #FIFA #FRAMAR #FranceVsMorroco https://t.co/Q7rOeHgqMA"""
4629,"""LATEST EXCLUSIVE : #ShahRukhKhan talks about the match between #FrancevsMorocco #FRAMAR as he adds “Kursi ki peti baand ke dekhte hain 🔥” Watch him promote #Pathaan on Match Centre LIVE at the #FIFA Finals on 18th December. #FIFAWorldCup #FIFAWorldCup2022Qatar #DeepikaPadukone https://t.co/gGj1NOp2DY https://t.co/7u14AebZam"""
2452,"""hey @washingtonpost @RanaAyyub @nytimes look at this #Islamophobia in #France and elsewhere. After all #France has only one a game."""
2847,"""It was one of the most expensive marketing campaigns in history for a nation. 

But was it all worth it? 

#Qatar2022 #FIFAWorldCup 

https://t.co/lxO9u7tcdH"""
1145,"""I can’t believe some Africans were supporting #Morocco to lose tonight. 🇲🇦

How? Just how..💔🌍

#Qatar2022    I #FIFAWorldCup     | #WorldCupwithMicky #MAR https://t.co/PzIOdBDf90"""
3079,"""Let's take the final step now, says France coach Deschamps 
#FIFAWorldCup 
https://t.co/Fq2BRLcrIy https://t.co/yZAqln8eg3"""
1104,"""""We'll do everything we can to ensure that we're happier on Sunday.""

France 🇫🇷 head coach Didier Deschamps has his eyes on the prize 🏆 

#FIFAWorldCup #Qatar2022onMG https://t.co/B0H6KYm3NK"""
169,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
1671,"""King be like what does controversy even mean...
I'm busy doing what matters the most🔥

PATHAAN DEKHEGA HINDUSTAN"""
2571,"""Kylian Mbappe ❓
Lionel Messi ❓
Antoine Griezmann ❓

The race for the #FIFAWorldCup Golden Ball is hotting up and France's accidental midfield general is in with a shout | @samcunningham

https://t.co/0d1gvIE6ae"""
2378,"""#BTPanorama | #ArgentinaVsFrance are all set for #FIFAWorldCup finals. But who will win the coveted #goldenboot - Messi of Mbappe? 

Know the odds in this story.

https://t.co/nrykUXqZNS"""
4396,"""Sofyan Amrabat is the first player to win possession 50 times at the 2022 World Cup.

Team of the Tournament place secured. 🔐

#FIFAWorldCup https://t.co/sWkVYn1yti"""
4258,"""@seetvuganda @starborntimkash @djadamvybes @ChampionBetUG Helloo street king 👑 @starborntimkash , kindly play me ""New Concept"" by Sumi Crazy going out to #Argentina #diehard fans &amp; all lovely viewers of 🥰 @seetvuganda  #PeaceAndLove #FIFAWorldCup #Qatar2022"""
3863,"""World would be better place. If Argentina wins FIFA World Finals, Messi retires peacefully &amp; Maradona's soul will be happy. France, at 2nd spot continue to reign Europe.  Morocco at 3rd place, new hope from Africa #FIFAWorldCup #FIFAWorldCupQatar2022 #Qatar2022 #Qatar #Mbappe"""
24,"""My unbiased Argentina and France combined 11.
#ARGFRA #FootballWithDME #FIFAWorldCup #Qatar2022 https://t.co/HnuMrWdNi5"""
2634,"""Celebration in #Paris #France #News

#FranceVsMorroco 2-0 #WorldCup 

Paris'8th district mayor fears &lt;a civil war&gt; tonight on the #champsélysées #Montpellier #Fra

#Moroccofrance #Fra

#FIFAWorldCup #Qatar2022 https://t.co/UT4YLDbfzu"""
3341,"""Sidha Wayne Rooney Sa Promotion 🔥
King Srk 👑"""
2216,"""The collab I could never even dream of. Don't miss the legends of their fields, @WayneRooney and @iamsrk this Sunday during the #FIFAWorldCup Final.

PATHAAN DEKHEGA HINDUSTAN"""
3683,"""The problem is the religion not the game"""
